"","Parent.Name","lhs","Major","Minor"
"623","Uptake and actions of bacterial toxins","MAP2K6","Disease","Infectious disease"
"624","Interleukin-1 family signaling","MAP2K6","Immune System","Cytokine Signaling in Immune system"
"625","CD28 co-stimulation","MAP3K8","Immune System","Adaptive Immune System"
"626","MAP kinase activation in TLR cascade","MAP3K8","Immune System","Innate Immune System"
"627","Interleukin-1 signaling","MAP3K8","Immune System","Cytokine Signaling in Immune system"
"628","Regulation of insulin secretion","MARCKS","Metabolism","Integration of energy metabolism"
"629","Phase II - Conjugation of compounds","MAT2A","Metabolism","Biological oxidations"
"630","DNA Replication Pre-Initiation","MCM2","DNA Replication","M/G1 Transition"
"631","Switching of origins to a post-replicative state","MCM2","Cell Cycle","Synthesis of DNA"
"632","Synthesis of DNA","MCM2","Cell Cycle","Synthesis of DNA"
"633","G2/M Checkpoints","MCM2","Cell Cycle","Cell Cycle Checkpoints"
"634","DNA strand elongation","MCM2","Cell Cycle","Synthesis of DNA"
"635","Regulation of DNA replication","MCM2","DNA Replication","Regulation of DNA replication"
"636","G1/S Transition","MCM2","Cell Cycle","Cell Cycle, Mitotic"
"637","Removal of licensing factors from origins","MCM2","DNA Replication","Regulation of DNA replication"
"638","G2/M Checkpoints","MCM5","Cell Cycle","Cell Cycle Checkpoints"
"639","DNA strand elongation","MCM5","Cell Cycle","Synthesis of DNA"
"640","Removal of licensing factors from origins","MCM5","DNA Replication","Regulation of DNA replication"
"641","Switching of origins to a post-replicative state","MCM5","Cell Cycle","Synthesis of DNA"
"642","G1/S Transition","MCM5","Cell Cycle","Cell Cycle, Mitotic"
"643","Regulation of DNA replication","MCM5","DNA Replication","Regulation of DNA replication"
"644","DNA Replication Pre-Initiation","MCM5","DNA Replication","M/G1 Transition"
"645","Synthesis of DNA","MCM5","Cell Cycle","Synthesis of DNA"
"646","DNA Replication Pre-Initiation","MCM6","DNA Replication","M/G1 Transition"
"647","Regulation of DNA replication","MCM6","DNA Replication","Regulation of DNA replication"
"648","Synthesis of DNA","MCM6","Cell Cycle","Synthesis of DNA"
"649","G1/S Transition","MCM6","Cell Cycle","Cell Cycle, Mitotic"
"650","DNA strand elongation","MCM6","Cell Cycle","Synthesis of DNA"
"651","G2/M Checkpoints","MCM6","Cell Cycle","Cell Cycle Checkpoints"
"652","Switching of origins to a post-replicative state","MCM6","Cell Cycle","Synthesis of DNA"
"653","Removal of licensing factors from origins","MCM6","DNA Replication","Regulation of DNA replication"
"654","Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)","ME1","Metabolism","Metabolism of lipids"
"655","SUMO E3 ligases SUMOylate target proteins","MITF","Metabolism of proteins","Post-translational protein modification"
"656","Degradation of the extracellular matrix","MMP2","Extracellular matrix organization","Degradation of the extracellular matrix"
"657","Extracellular matrix organization","MMP2","Extracellular matrix organization","Extracellular matrix organization"
"658","Signaling by Interleukins","MMP2","Immune System","Cytokine Signaling in Immune system"
"659","EPH-Ephrin signaling","MMP2","Developmental Biology","Axon guidance"
"660","Metabolism of proteins","MMP2","Metabolism of proteins","Metabolism of proteins"
"661","Degradation of the extracellular matrix","MMP7","Extracellular matrix organization","Degradation of the extracellular matrix"
"662","Extracellular matrix organization","MMP7","Extracellular matrix organization","Extracellular matrix organization"
"663","Collagen formation","MMP7","Extracellular matrix organization","Collagen formation"
"664","Extracellular matrix organization","MMP9","Extracellular matrix organization","Extracellular matrix organization"
"665","Degradation of the extracellular matrix","MMP9","Extracellular matrix organization","Degradation of the extracellular matrix"
"666","Signaling by Receptor Tyrosine Kinases","MMP9","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"667","EPH-Ephrin signaling","MMP9","Developmental Biology","Axon guidance"
"668","Signaling by Interleukins","MMP9","Immune System","Cytokine Signaling in Immune system"
"669","Collagen formation","MMP9","Extracellular matrix organization","Collagen formation"
"670","Innate Immune System","MMP9","Immune System","Innate Immune System"
"671","Response to metal ions","MT1F","Cellular responses to external stimuli","Response to metal ions"
"672","Response to metal ions","MT1X","Cellular responses to external stimuli","Response to metal ions"
"673","Interferon Signaling","MT2A","Immune System","Cytokine Signaling in Immune system"
"674","Response to metal ions","MT2A","Cellular responses to external stimuli","Response to metal ions"
"675","Diseases associated with O-glycosylation of proteins","MUC5AC","Disease","Diseases of glycosylation"
"676","O-linked glycosylation","MUC5AC","Metabolism of proteins","Post-translational protein modification"
"677","O-linked glycosylation of mucins","MUC5AC","Metabolism of proteins","Post-translational protein modification"
"678","C-type lectin receptors (CLRs)","MUC5AC","Immune System","Innate Immune System"
"679","Hemostasis","MYB","Hemostasis","Hemostasis"
"680","Transcriptional regulation by RUNX1","MYB","Gene expression (Transcription)","RNA Polymerase II Transcription"
"681","Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer","MYC","Signal Transduction","Signaling by TGF-beta family members"
"682","G1/S Transition","MYC","Cell Cycle","Cell Cycle, Mitotic"
"683","Deubiquitination","MYC","Metabolism of proteins","Post-translational protein modification"
"684","Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer","MYC","Disease","Diseases of signal transduction"
"685","G0 and Early G1","MYC","Cell Cycle","Cell Cycle, Mitotic"
"686","Signaling by Interleukins","MYC","Immune System","Cytokine Signaling in Immune system"
"687","Formation of the beta-catenin:TCF transactivating complex","MYC","Signal Transduction","Signaling by WNT"
"688","Transcriptional regulation by RUNX3","MYC","Gene expression (Transcription)","RNA Polymerase II Transcription"
"689","S Phase","MYC","Cell Cycle","Cell Cycle, Mitotic"
"690","Signaling by NOTCH1","MYC","Signal Transduction","Signaling by NOTCH"
"691","MAPK family signaling cascades","MYC","Signal Transduction","MAPK family signaling cascades"
"692","Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors","MYC","Gene expression (Transcription)","RNA Polymerase II Transcription"
"693","Signaling by NOTCH1 PEST Domain Mutants in Cancer","MYC","Disease","Diseases of signal transduction"
"694","Antigen processing-Cross presentation","NCF1","Immune System","Adaptive Immune System"
"695","Signaling by VEGF","NCF1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"696","Cellular responses to stress","NCF1","Cellular responses to external stimuli","Cellular responses to stress"
"697","RHO GTPase Effectors","NCF1","Signal Transduction","Signaling by Rho GTPases"
"698","Innate Immune System","NCF1","Immune System","Innate Immune System"
"699","RHO GTPase Effectors","NCF2","Signal Transduction","Signaling by Rho GTPases"
"700","Antigen processing-Cross presentation","NCF2","Immune System","Adaptive Immune System"
"701","Cellular responses to stress","NCF2","Cellular responses to external stimuli","Cellular responses to stress"
"702","Signaling by VEGF","NCF2","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"703","Innate Immune System","NCF2","Immune System","Innate Immune System"
"704","Amplification of signal from the kinetochores","NDC80","Cell Cycle","Cell Cycle Checkpoints"
"705","Mitotic Anaphase","NDC80","Cell Cycle","Cell Cycle, Mitotic"
"706","Mitotic Prometaphase","NDC80","Cell Cycle","Cell Cycle, Mitotic"
"707","RHO GTPase Effectors","NDC80","Signal Transduction","Signaling by Rho GTPases"
"708","M Phase","NDC80","Cell Cycle","Cell Cycle, Mitotic"
"709","TP53 Regulates Transcription of Cell Death Genes","NDRG1","Gene expression (Transcription)","RNA Polymerase II Transcription"
"710","MyD88 cascade initiated on plasma membrane","NFKB2","Immune System","Innate Immune System"
"711","Cytosolic sensors of pathogen-associated DNA","NFKB2","Immune System","Innate Immune System"
"712","MyD88:Mal cascade initiated on plasma membrane","NFKB2","Immune System","Innate Immune System"
"713","Diseases associated with the TLR signaling cascade","NFKB2","Disease","Diseases of Immune System"
"714","Chromatin modifying enzymes","NFKB2","Chromatin organization","Chromatin modifying enzymes"
"715","ZBP1(DAI) mediated induction of type I IFNs","NFKB2","Immune System","Innate Immune System"
"716","Interleukin-1 family signaling","NFKB2","Immune System","Cytokine Signaling in Immune system"
"717","DDX58/IFIH1-mediated induction of interferon-alpha/beta","NFKB2","Immune System","Innate Immune System"
"718","TRIF(TICAM1)-mediated TLR4 signaling","NFKB2","Immune System","Innate Immune System"
"719","CLEC7A (Dectin-1) signaling","NFKB2","Immune System","Innate Immune System"
"720","TNFR2 non-canonical NF-kB pathway","NFKB2","Immune System","Cytokine Signaling in Immune system"
"721","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","NFKB2","Immune System","Innate Immune System"
"722","Interleukin-1 signaling","NFKB2","Immune System","Cytokine Signaling in Immune system"
"723","Toll Like Receptor 3 (TLR3) Cascade","NFKB2","Immune System","Innate Immune System"
"724","TCR signaling","NFKBIA","Immune System","Adaptive Immune System"
"725","ZBP1(DAI) mediated induction of type I IFNs","NFKBIA","Immune System","Innate Immune System"
"726","Deubiquitination","NFKBIA","Metabolism of proteins","Post-translational protein modification"
"727","TRIF(TICAM1)-mediated TLR4 signaling","NFKBIA","Immune System","Innate Immune System"
"728","Diseases associated with the TLR signaling cascade","NFKBIA","Disease","Diseases of Immune System"
"729","Interleukin-1 signaling","NFKBIA","Immune System","Cytokine Signaling in Immune system"
"730","C-type lectin receptors (CLRs)","NFKBIA","Immune System","Innate Immune System"
"731","MyD88:Mal cascade initiated on plasma membrane","NFKBIA","Immune System","Innate Immune System"
"732","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","NFKBIA","Immune System","Innate Immune System"
"733","Downstream signaling events of B Cell Receptor (BCR)","NFKBIA","Immune System","Adaptive Immune System"
"734","p75NTR signals via NF-kB","NFKBIA","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"735","Fc epsilon receptor (FCERI) signaling","NFKBIA","Immune System","Innate Immune System"
"736","Interleukin-1 family signaling","NFKBIA","Immune System","Cytokine Signaling in Immune system"
"737","DDX58/IFIH1-mediated induction of interferon-alpha/beta","NFKBIA","Immune System","Innate Immune System"
"738","MyD88 cascade initiated on plasma membrane","NFKBIA","Immune System","Innate Immune System"
"739","Toll Like Receptor 3 (TLR3) Cascade","NFKBIA","Immune System","Innate Immune System"
"740","Downstream signaling events of B Cell Receptor (BCR)","NFKBIB","Immune System","Adaptive Immune System"
"741","ZBP1(DAI) mediated induction of type I IFNs","NFKBIB","Immune System","Innate Immune System"
"742","MyD88:Mal cascade initiated on plasma membrane","NFKBIB","Immune System","Innate Immune System"
"743","Toll Like Receptor 3 (TLR3) Cascade","NFKBIB","Immune System","Innate Immune System"
"744","DDX58/IFIH1-mediated induction of interferon-alpha/beta","NFKBIB","Immune System","Innate Immune System"
"745","Diseases associated with the TLR signaling cascade","NFKBIB","Disease","Diseases of Immune System"
"746","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","NFKBIB","Immune System","Innate Immune System"
"747","Interleukin-1 signaling","NFKBIB","Immune System","Cytokine Signaling in Immune system"
"748","MyD88 cascade initiated on plasma membrane","NFKBIB","Immune System","Innate Immune System"
"749","TRIF(TICAM1)-mediated TLR4 signaling","NFKBIB","Immune System","Innate Immune System"
"750","Metabolism of nucleotides","NME1","Metabolism","Metabolism of nucleotides"
"751","Generic Transcription Pathway","NR0B2","Gene expression (Transcription)","RNA Polymerase II Transcription"
"752","Synthesis of bile acids and bile salts","NR1H4","Metabolism","Metabolism of lipids"
"753","Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)","NR1H4","Metabolism","Metabolism of lipids"
"754","Bile acid and bile salt metabolism","NR1H4","Metabolism","Metabolism of lipids"
"755","Generic Transcription Pathway","NR1H4","Gene expression (Transcription)","RNA Polymerase II Transcription"
"756","Cytochrome P450 - arranged by substrate type","NR1H4","Metabolism","Biological oxidations"
"757","Generic Transcription Pathway","NR4A3","Gene expression (Transcription)","RNA Polymerase II Transcription"
"758","Transcriptional regulation by RUNX1","NR4A3","Gene expression (Transcription)","RNA Polymerase II Transcription"
"759","Signaling by ERBB4","NRG1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"760","Signaling by ERBB2","NRG1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"761","Downregulation of ERBB2 signaling","NRG1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"762","Signaling by Receptor Tyrosine Kinases","NRG1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"763","PI3K/AKT Signaling in Cancer","NRG1","Disease","Diseases of signal transduction"
"764","MAPK1/MAPK3 signaling","NRG1","Signal Transduction","MAPK family signaling cascades"
"765","Negative regulation of the PI3K/AKT network","NRG1","Signal Transduction","Intracellular signaling by second messengers"
"766","Intracellular signaling by second messengers","NRG1","Signal Transduction","Intracellular signaling by second messengers"
"767","Signaling by PTK6","NRG1","Signal Transduction","Signaling by Non-Receptor Tyrosine Kinases"
"768","Activation of TRKA receptors","NTRK2","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"769","Innate Immune System","OLR1","Immune System","Innate Immune System"
"770","Hemostasis","OLR1","Hemostasis","Hemostasis"
"771","Metabolism of proteins","PAPPA","Metabolism of proteins","Metabolism of proteins"
"772","Extracellular matrix organization","PDGFB","Extracellular matrix organization","Extracellular matrix organization"
"773","Negative regulation of the PI3K/AKT network","PDGFB","Signal Transduction","Intracellular signaling by second messengers"
"774","Response to elevated platelet cytosolic Ca2+","PDGFB","Hemostasis","Platelet activation, signaling and aggregation"
"775","PI3K/AKT Signaling in Cancer","PDGFB","Disease","Diseases of signal transduction"
"776","Signaling by Receptor Tyrosine Kinases","PDGFB","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"777","Signaling by PDGF","PDGFB","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"778","MAPK1/MAPK3 signaling","PDGFB","Signal Transduction","MAPK family signaling cascades"
"779","Intracellular signaling by second messengers","PDGFB","Signal Transduction","Intracellular signaling by second messengers"
"780","Amino acid synthesis and interconversion (transamination)","PHGDH","Metabolism","Metabolism of amino acids and derivatives"
"781","G2/M Transition","PHLDA1","Cell Cycle","Cell Cycle, Mitotic"
"782","G-protein beta:gamma signalling","PIK3R1","Signal Transduction","Signaling by GPCR"
"783","NGF signalling via TRKA from the plasma membrane","PIK3R1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"784","Signaling by ERBB4","PIK3R1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"785","Signaling by the B Cell Receptor (BCR)","PIK3R1","Immune System","Adaptive Immune System"
"786","Signaling by FGFR in disease","PIK3R1","Disease","Diseases of signal transduction"
"787","GPCR downstream signalling","PIK3R1","Signal Transduction","Signaling by GPCR"
"788","TCR signaling","PIK3R1","Immune System","Adaptive Immune System"
"789","Cell-Cell communication","PIK3R1","Cell-Cell communication","Cell-Cell communication"
"790","Signaling by Interleukins","PIK3R1","Immune System","Cytokine Signaling in Immune system"
"791","Cell surface interactions at the vascular wall","PIK3R1","Hemostasis","Cell surface interactions at the vascular wall"
"792","Fc epsilon receptor (FCERI) signaling","PIK3R1","Immune System","Innate Immune System"
"793","Interleukin-3, 5 and GM-CSF signaling","PIK3R1","Immune System","Cytokine Signaling in Immune system"
"794","Platelet activation, signaling and aggregation","PIK3R1","Hemostasis","Platelet activation, signaling and aggregation"
"795","Signaling by ERBB2","PIK3R1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"796","Signaling by FGFR3 in disease","PIK3R1","Disease","Diseases of signal transduction"
"797","Downstream signaling of activated FGFR3","PIK3R1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"798","Signaling by PDGF","PIK3R1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"799","Interleukin-2 family signaling","PIK3R1","Immune System","Cytokine Signaling in Immune system"
"800","Negative regulation of the PI3K/AKT network","PIK3R1","Signal Transduction","Intracellular signaling by second messengers"
"801","Signaling by Ligand-Responsive EGFR Variants in Cancer","PIK3R1","Disease","Diseases of signal transduction"
"802","IRS-mediated signalling","PIK3R1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"803","Fcgamma receptor (FCGR) dependent phagocytosis","PIK3R1","Immune System","Innate Immune System"
"804","Downstream signaling of activated FGFR1","PIK3R1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"805","PI Metabolism","PIK3R1","Metabolism","Metabolism of lipids"
"806","Signaling by Receptor Tyrosine Kinases","PIK3R1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"807","DAP12 interactions","PIK3R1","Immune System","Innate Immune System"
"808","Axon guidance","PIK3R1","Developmental Biology","Axon guidance"
"809","Downstream signaling of activated FGFR2","PIK3R1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"810","Signaling by EGFRvIII in Cancer","PIK3R1","Disease","Diseases of signal transduction"
"811","CD28 co-stimulation","PIK3R1","Immune System","Adaptive Immune System"
"812","Signaling by VEGF","PIK3R1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"813","Signaling by EGFR","PIK3R1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"814","Downstream signaling of activated FGFR4","PIK3R1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"815","PI3K/AKT Signaling in Cancer","PIK3R1","Disease","Diseases of signal transduction"
"816","Intracellular signaling by second messengers","PIK3R1","Signal Transduction","Intracellular signaling by second messengers"
"817","Signaling by MET","PIK3R1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"818","FGFR1 mutant receptor activation","PIK3R1","Disease","Diseases of signal transduction"
"819","Adaptive Immune System","PIK3R1","Immune System","Adaptive Immune System"
"820","TP53 Regulates Transcription of Cell Cycle Genes","PLK2","Gene expression (Transcription)","RNA Polymerase II Transcription"
"821","TGF-beta receptor signaling activates SMADs","PMEPA1","Signal Transduction","Signaling by TGF-beta family members"
"822","Generic Transcription Pathway","PPARG","Gene expression (Transcription)","RNA Polymerase II Transcription"
"823","Developmental Biology","PPARG","Developmental Biology","Developmental Biology"
"824","Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)","PPARG","Metabolism","Metabolism of lipids"
"825","PTEN Regulation","PPARG","Signal Transduction","Intracellular signaling by second messengers"
"826","Regulation of TP53 Expression and Degradation","PRDM1","Gene expression (Transcription)","RNA Polymerase II Transcription"
"827","Formation of Fibrin Clot (Clotting Cascade)","PROCR","Hemostasis","Formation of Fibrin Clot (Clotting Cascade)"
"828","Hemostasis","PROCR","Hemostasis","Hemostasis"
"829","Metabolism of proteins","PRSS23","Metabolism of proteins","Metabolism of proteins"
"830","Post-translational protein modification","PRSS23","Metabolism of proteins","Post-translational protein modification"
"831","Transcriptional Regulation by TP53","PTEN","Gene expression (Transcription)","RNA Polymerase II Transcription"
"832","TCR signaling","PTEN","Immune System","Adaptive Immune System"
"833","Deubiquitination","PTEN","Metabolism of proteins","Post-translational protein modification"
"834","PI Metabolism","PTEN","Metabolism","Metabolism of lipids"
"835","PIP3 activates AKT signaling","PTEN","Signal Transduction","Intracellular signaling by second messengers"
"836","PI3K/AKT Signaling in Cancer","PTEN","Disease","Diseases of signal transduction"
"837","PTEN Regulation","PTEN","Signal Transduction","Intracellular signaling by second messengers"
"838","Inositol phosphate metabolism","PTEN","Metabolism","Inositol phosphate metabolism"
"839","Eicosanoid ligand-binding receptors","PTGER4","Signal Transduction","Signaling by GPCR"
"840","GPCR downstream signalling","PTGER4","Signal Transduction","Signaling by GPCR"
"841","Arachidonic acid metabolism","PTGES","Metabolism","Metabolism of lipids"
"842","Signaling by Interleukins","PTGS2","Immune System","Cytokine Signaling in Immune system"
"843","Arachidonic acid metabolism","PTGS2","Metabolism","Metabolism of lipids"
"844","Nicotinate metabolism","PTGS2","Metabolism","Metabolism of vitamins and cofactors"
"845","Innate Immune System","PTX3","Immune System","Innate Immune System"
"846","Inflammasomes","PYCARD","Immune System","Innate Immune System"
"847","CLEC7A (Dectin-1) signaling","PYCARD","Immune System","Innate Immune System"
"848","Innate Immune System","PYCARD","Immune System","Innate Immune System"
"849","Activation of HOX genes during differentiation","RARA","Developmental Biology","Activation of HOX genes during differentiation"
"850","Generic Transcription Pathway","RARA","Gene expression (Transcription)","RNA Polymerase II Transcription"
"851","Signaling by Nuclear Receptors","RARA","Signal Transduction","Signaling by Nuclear Receptors"
"852","RUNX2 regulates bone development","RB1","Gene expression (Transcription)","RNA Polymerase II Transcription"
"853","E2F mediated regulation of DNA replication","RB1","Cell Cycle","Cell Cycle, Mitotic"
"854","Mitotic Prophase","RB1","Cell Cycle","Cell Cycle, Mitotic"
"855","G1/S Transition","RB1","Cell Cycle","Cell Cycle, Mitotic"
"856","Cyclin E associated events during G1/S transition","RB1","Cell Cycle","Cell Cycle, Mitotic"
"857","G1 Phase","RB1","Cell Cycle","Cell Cycle, Mitotic"
"858","Removal of licensing factors from origins","RB1","DNA Replication","Regulation of DNA replication"
"859","S Phase","RB1","Cell Cycle","Cell Cycle, Mitotic"
"860","Cellular Senescence","RB1","Cellular responses to external stimuli","Cellular responses to stress"
"861","DNA Damage/Telomere Stress Induced Senescence","RB1","Cellular responses to external stimuli","Cellular responses to stress"
"862","Switching of origins to a post-replicative state","RB1","Cell Cycle","Synthesis of DNA"
"863","Post-translational protein modification","RECK","Metabolism of proteins","Post-translational protein modification"
"864","Downstream signaling events of B Cell Receptor (BCR)","REL","Immune System","Adaptive Immune System"
"865","CLEC7A (Dectin-1) signaling","RELB","Immune System","Innate Immune System"
"866","TNFR2 non-canonical NF-kB pathway","RELB","Immune System","Cytokine Signaling in Immune system"
"867","C-type lectin receptors (CLRs)","RELB","Immune System","Innate Immune System"
"868","RHO GTPase Effectors","RHOC","Signal Transduction","Signaling by Rho GTPases"
"869","Signaling by Rho GTPases","RHOC","Signal Transduction","Signaling by Rho GTPases"
"870","GPCR downstream signalling","RHOC","Signal Transduction","Signaling by GPCR"
"871","Sema4D in semaphorin signaling","RHOC","Developmental Biology","Axon guidance"
"872","MAP kinase activation in TLR cascade","RIPK2","Immune System","Innate Immune System"
"873","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","RIPK2","Immune System","Innate Immune System"
"874","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","RIPK2","Immune System","Innate Immune System"
"875","Interleukin-1 family signaling","RIPK2","Immune System","Cytokine Signaling in Immune system"
"876","MyD88 cascade initiated on plasma membrane","RIPK2","Immune System","Innate Immune System"
"877","Deubiquitination","RIPK2","Metabolism of proteins","Post-translational protein modification"
"878","TRIF(TICAM1)-mediated TLR4 signaling","RIPK2","Immune System","Innate Immune System"
"879","TCR signaling","RIPK2","Immune System","Adaptive Immune System"
"880","MyD88:Mal cascade initiated on plasma membrane","RIPK2","Immune System","Innate Immune System"
"881","Toll Like Receptor 3 (TLR3) Cascade","RIPK2","Immune System","Innate Immune System"
"882","Interleukin-1 signaling","RIPK2","Immune System","Cytokine Signaling in Immune system"
"883","p75NTR signals via NF-kB","RIPK2","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"884","Cap-dependent Translation Initiation","RPS6","Metabolism of proteins","Translation"
"885","Translation","RPS6","Metabolism of proteins","Translation"
"886","Influenza Viral RNA Transcription and Replication","RPS6","Disease","Infectious disease"
"887","Selenoamino acid metabolism","RPS6","Metabolism","Metabolism of amino acids and derivatives"
"888","rRNA processing in the nucleus and cytosol","RPS6","Metabolism of RNA","rRNA processing"
"889","Eukaryotic Translation Elongation","RPS6","Metabolism of proteins","Translation"
"890","Nonsense-Mediated Decay (NMD)","RPS6","Metabolism of RNA","Nonsense-Mediated Decay (NMD)"
"891","Signaling by ROBO receptors","RPS6","Developmental Biology","Axon guidance"
"892","Eukaryotic Translation Initiation","RPS6","Metabolism of proteins","Translation"
"893","mTOR signalling","RPS6","Signal Transduction","mTOR signalling"
"894","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","RPS6","Metabolism of proteins","Translation"
"895","mTOR signalling","RPS6KB1","Signal Transduction","mTOR signalling"
"896","Transcriptional regulation by RUNX2","RUNX2","Gene expression (Transcription)","RNA Polymerase II Transcription"
"897","RUNX2 regulates bone development","RUNX2","Gene expression (Transcription)","RNA Polymerase II Transcription"
"898","Transcriptional regulation by RUNX1","RUNX2","Gene expression (Transcription)","RNA Polymerase II Transcription"
"899","Generic Transcription Pathway","RUNX2","Gene expression (Transcription)","RNA Polymerase II Transcription"
"900","Innate Immune System","S100A8","Immune System","Innate Immune System"
"901","Toll-Like Receptors Cascades","S100A8","Immune System","Innate Immune System"
"902","Antimicrobial peptides","S100A8","Immune System","Innate Immune System"
"903","Innate Immune System","S100A9","Immune System","Innate Immune System"
"904","Toll-Like Receptors Cascades","S100A9","Immune System","Innate Immune System"
"905","Antimicrobial peptides","S100A9","Immune System","Innate Immune System"
"906","Cholesterol biosynthesis","SC5D","Metabolism","Metabolism of lipids"
"907","Regulation of cholesterol biosynthesis by SREBP (SREBF)","SC5D","Metabolism","Metabolism of lipids"
"908","Fatty acid metabolism","SCD","Metabolism","Metabolism of lipids"
"909","Regulation of cholesterol biosynthesis by SREBP (SREBF)","SCD","Metabolism","Metabolism of lipids"
"910","Response to elevated platelet cytosolic Ca2+","SELENOP","Hemostasis","Platelet activation, signaling and aggregation"
"911","Innate Immune System","SELL","Immune System","Innate Immune System"
"912","Adaptive Immune System","SELL","Immune System","Adaptive Immune System"
"913","Hemostasis","SELL","Hemostasis","Hemostasis"
"914","Innate Immune System","SERPINB1","Immune System","Innate Immune System"
"915","Hemostasis","SERPINE2","Hemostasis","Hemostasis"
"916","Formation of Fibrin Clot (Clotting Cascade)","SERPINE2","Hemostasis","Formation of Fibrin Clot (Clotting Cascade)"
"917","Metabolism of water-soluble vitamins and cofactors","SLC2A1","Metabolism","Metabolism of vitamins and cofactors"
"918","SLC-mediated transmembrane transport","SLC2A1","Transport of small molecules","SLC-mediated transmembrane transport"
"919","SLC transporter disorders","SLC2A1","Disease","Disorders of transmembrane transporters"
"920","Metabolism of carbohydrates","SLC2A1","Metabolism","Metabolism of carbohydrates"
"921","Integration of energy metabolism","SLC2A1","Metabolism","Integration of energy metabolism"
"922","Developmental Biology","SMAD2","Developmental Biology","Developmental Biology"
"923","Loss of Function of SMAD4 in Cancer","SMAD2","Disease","Diseases of signal transduction"
"924","Signaling by TGF-beta family members","SMAD2","Signal Transduction","Signaling by TGF-beta family members"
"925","Loss of Function of SMAD2/3 in Cancer","SMAD2","Disease","Diseases of signal transduction"
"926","Signaling by TGF-beta Receptor Complex","SMAD2","Signal Transduction","Signaling by TGF-beta family members"
"927","Loss of Function of TGFBR1 in Cancer","SMAD2","Disease","Diseases of signal transduction"
"928","Deubiquitination","SMAD2","Metabolism of proteins","Post-translational protein modification"
"929","Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer","SMAD2","Signal Transduction","Signaling by TGF-beta family members"
"930","TGF-beta receptor signaling activates SMADs","SMAD2","Signal Transduction","Signaling by TGF-beta family members"
"931","TCF dependent signaling in response to WNT","SOX4","Signal Transduction","Signaling by WNT"
"932","Generic Transcription Pathway","SOX9","Gene expression (Transcription)","RNA Polymerase II Transcription"
"933","TCF dependent signaling in response to WNT","SOX9","Signal Transduction","Signaling by WNT"
"934","Signaling by EGFR","SPRY1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"935","Interleukin-1 family signaling","SQSTM1","Immune System","Cytokine Signaling in Immune system"
"936","p75NTR signals via NF-kB","SQSTM1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"937","Mitophagy","SQSTM1","Mitophagy","Mitophagy"
"938","Cell death signalling via NRAGE, NRIF and NADE","SQSTM1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"939","Developmental Biology","SREBF2","Developmental Biology","Developmental Biology"
"940","Metabolism of steroids","SREBF2","Metabolism","Metabolism of lipids"
"941","Regulation of cholesterol biosynthesis by SREBP (SREBF)","SREBF2","Metabolism","Metabolism of lipids"
